status	population	access	pages	first_page_chars	file
OK	adult	non_fulltext	1	4010	papers/adult/non_fulltext/2026_NON_FULLTEXT_Adult_CCTA_Prevalence_Conference_Abstract.pdf
OK	adult	non_fulltext	1	2833	papers/adult/non_fulltext/2025_NON_FULLTEXT_Adult_Clinical_Prognostic_Significance.pdf
OK	adult	fulltext	7	4777	papers/adult/fulltext/2025_Adult_Proximal_Coronary_Surgery.pdf
OK	adult	non_fulltext	1	761	papers/adult/non_fulltext/2025_NON_FULLTEXT_AAOCA_Stress_Echocardiography.pdf
OK	adult	non_fulltext	1	740	papers/adult/non_fulltext/2024_NON_FULLTEXT_Adult_AAORCA_Surgical_Management.pdf
OK	adult	non_fulltext	1	3217	papers/adult/non_fulltext/2023_NON_FULLTEXT_Adult_AAOCA_State_of_the_Art.pdf
OK	adult	non_fulltext	1	3972	papers/adult/non_fulltext/2023_NON_FULLTEXT_Patlolla_Protocolized_Unroofing_148_Patients.pdf
OK	adult	fulltext	17	5416	papers/adult/fulltext/2022_Adult_AAOCA_Coronary_Disease.pdf
OK	adult	fulltext	8	2515	papers/adult/fulltext/2021_Adolescent_Adult_Surgical_Symptoms.pdf
OK	adult	fulltext	85	1325	papers/adult/fulltext/2020_ESC_Adult_CHD_Guideline.pdf
OK	adult	non_fulltext	1	3049	papers/adult/non_fulltext/2017_NON_FULLTEXT_JACC_AAOCA_Review.pdf
OK	adult	non_fulltext	1	3229	papers/adult/non_fulltext/2017_NON_FULLTEXT_Middle_Aged_Matched_Cohort.pdf
OK	adult	non_fulltext	1	3290	papers/adult/non_fulltext/2016_NON_FULLTEXT_Adult_Clinical_Outcomes.pdf
OK	adult	non_fulltext	1	3744	papers/adult/non_fulltext/2016_NON_FULLTEXT_Law_AAORCA_Reimplantation_16_Patients.pdf
OK	adult	non_fulltext	1	824	papers/adult/non_fulltext/2015_NON_FULLTEXT_CCTA_High_Risk_Anatomy_Outcomes.pdf
OK	adult	non_fulltext	1	3121	papers/adult/non_fulltext/2014_NON_FULLTEXT_AAOCA_Surgical_Unroofing.pdf
OK	pediatric	non_fulltext	1	618	papers/pediatric/non_fulltext/2025_NON_FULLTEXT_Serial_Exercise_Testing_Children.pdf
OK	adult	non_fulltext	1	462	papers/adult/non_fulltext/2021_NON_FULLTEXT_Circulation_Coronary_Artery_Anomalies.pdf
